strain,time (s)
-1.460771114340936e-20,-4.5181350689999995
-1.3757004325723195e-20,-4.5176467877499995
-1.2893272209914101e-20,-4.5171585064999995
-1.2017320351119375e-20,-4.5166702252499995
-1.1129972128840334e-20,-4.5161819439999995
-1.0232061898964478e-20,-4.5156936627499995
-9.324434205965009e-21,-4.5152053814999995
-8.407942866815265e-21,-4.5147171002499995
-7.483449801438656e-21,-4.5142288189999995
-6.551824561382513e-21,-4.5137405377499995
-5.613943629235826e-21,-4.5132522564999995
-4.67068959520425e-21,-4.5127639752499995
-3.722950327603099e-21,-4.5122756939999995
-2.771618138046816e-21,-4.5117874127499995
-1.8175889421187033e-21,-4.5112991314999995
-8.617614163092837e-22,-4.5108108502499995
9.496384798404044e-23,-4.5103225689999995
1.0516851926006686e-21,-4.5098342877499995
2.0075007421054733e-21,-4.5093460064999995
2.9615092538228172e-21,-4.5088577252499995
3.9128109676149806e-21,-4.5083694439999995
4.860508454604201e-21,-4.5078811627499995
5.803707464037701e-21,-4.5073928814999995
6.741517767496742e-21,-4.5069046002499995
7.673053999652446e-21,-4.5064163189999995
8.597436494774385e-21,-4.5059280377499995
9.513792118200897e-21,-4.5054397564999995
1.0421255090450422e-20,-4.5049514752499995
1.1318967796648439e-20,-4.5044631939999995
1.220608160509554e-20,-4.5039749127499995
1.3081757676152527e-20,-4.5034866314999995
1.3945167757022596e-20,-4.5029983502499995
1.4795494966837202e-20,-4.5025100689999995
1.5631934571324678e-20,-4.5020217877499995
1.645369474632572e-20,-4.5015335064999995
1.7259997329429047e-20,-4.5010452252499995
1.8050078559012527e-20,-4.5005569439999995
1.8823189799985634e-20,-4.5000686627499995
1.9578598255541742e-20,-4.4995803814999995
2.0315587664241318e-20,-4.4990921002499995
2.1033458981760886e-20,-4.4986038189999995
2.173153104665629e-20,-4.4981155377499995
2.240914122950404e-20,-4.4976272564999995
2.306564606479926e-20,-4.4971389752499995
2.3700421865005378e-20,-4.4966506939999995
2.4312865316166687e-20,-4.4961624127499995
2.4902394054512157e-20,-4.4956741314999995
2.5468447223496673e-20,-4.4951858502499995
2.6010486010743914e-20,-4.4946975689999995
2.6527994164373618e-20,-4.4942092877499995
2.7020478488215627e-20,-4.4937210064999995
2.748746931543227e-20,-4.4932327252499995
2.792852096009116e-20,-4.4927444439999995
2.834321214625088e-20,-4.4922561627499995
2.873114641414305e-20,-4.4917678814999995
2.909195250305579e-20,-4.4912796002499995
2.942528471054546e-20,-4.4907913189999995
2.973082322762531e-20,-4.4903030377499995
3.000827444960282e-20,-4.4898147564999995
3.0257371262259866e-20,-4.4893264752499995
3.047787330309331e-20,-4.4888381939999995
3.0669567197356654e-20,-4.4883499127499995
3.083226676866773e-20,-4.4878616314999995
3.0965813223970584e-20,-4.4873733502499995
3.1070075312664354e-20,-4.4868850689999995
3.11449494597363e-20,-4.4863967877499995
3.11903598727602e-20,-4.4859085064999995
3.1206258622646485e-20,-4.4854202252499995
3.119262569805503e-20,-4.4849319439999995
3.114946903340634e-20,-4.4844436627499995
3.107682451045197e-20,-4.4839553814999995
3.0974755933389975e-20,-4.4834671002499995
3.0843354977536194e-20,-4.4829788189999995
3.0682741111587116e-20,-4.4824905377499995
3.049306149353556e-20,-4.4820022564999995
3.0274490840324506e-20,-4.4815139752499995
3.0027231271350476e-20,-4.4810256939999995
2.975151212595151e-20,-4.4805374127499995
2.944758975504059e-20,-4.4800491314999995
2.9115747287068985e-20,-4.4795608502499995
2.875629436852914e-20,-4.4790725689999995
2.836956687923062e-20,-4.4785842877499995
2.795592662260666e-20,-4.4780960064999995
2.751576099133273e-20,-4.4776077252499995
2.704948260856222e-20,-4.4771194439999995
2.65575289451072e-20,-4.4766311627499995
2.6040361912915894e-20,-4.4761428814999995
2.549846743522035e-20,-4.4756546002499995
2.493235499375063e-20,-4.4751663189999995
2.434255715343402e-20,-4.4746780377499995
2.372962906501835e-20,-4.4741897564999995
2.309414794608112e-20,-4.4737014752499995
2.2436712540905505e-20,-4.4732131939999995
2.1757942559725436e-20,-4.4727249127499995
2.105847809786177e-20,-4.4722366314999995
2.0338979035290526e-20,-4.4717483502499995
1.960012441701607e-20,-4.4712600689999995
1.8842611814171156e-20,-4.4707717877499995
1.8067156668905326e-20,-4.4702835064999995
1.7274491621895846e-20,-4.4697952252499995
1.6465365822855954e-20,-4.4693069439999995
1.56405442251002e-20,-4.4688186627499995
1.4800806864828504e-20,-4.4683303814999995
1.394694812580657e-20,-4.4678421002499995
1.3079775990132637e-20,-4.4673538189999995
1.2200111275795156e-20,-4.4668655377499995
1.1308786861739011e-20,-4.4663772564999995
1.0406646901169294e-20,-4.4658889752499995
9.494546023834324e-21,-4.4654006939999995
8.573348528039505e-21,-4.4649124127499995
7.643927563154509e-21,-4.4644241314999995
6.707164303385289e-21,-4.4639358502499995
5.763947113591342e-21,-4.4634475689999995
4.815170707936307e-21,-4.4629592877499995
3.86173530216836e-21,-4.4624710064999995
2.9045457603312093e-21,-4.4619827252499995
1.9445107367148806e-21,-4.4614944439999995
9.825418138582039e-22,-4.4610061627499995
1.9552637420318983e-23,-4.4605178814999995
-9.435419512581763e-22,-4.4600296002499995
-1.905826784081457e-21,-4.4595413189999995
-2.866387235787148e-21,-4.4590530377499995
-3.824310093371126e-21,-4.4585647564999995
-4.778684424522396e-21,-4.4580764752499995
-5.728602444241582e-21,-4.4575881939999995
-6.6731603788191284e-21,-4.4570999127499995
-7.611459326349575e-21,-4.4566116314999995
-8.542606112963186e-21,-4.4561233502499995
-9.465714143958171e-21,-4.4556350689999995
-1.0379904249021477e-20,-4.4551467877499995
-1.1284305520732266e-20,-4.4546585064999995
-1.2178056145546742e-20,-4.4541702252499995
-1.3060304226470552e-20,-4.4536819439999995
-1.3930208596632446e-20,-4.4531936627499995
-1.478693962298048e-20,-4.4527053814999995
-1.5629679999331814e-20,-4.4522171002499995
-1.6457625528016012e-20,-4.4517288189999995
-1.7269985889362887e-20,-4.4512405377499995
-1.806598539829698e-20,-4.4507522564999995
-1.8844863747311966e-20,-4.4502639752499995
-1.9605876735111595e-20,-4.4497756939999995
-2.0348296980216522e-20,-4.4492874127499995
-2.1071414618850946e-20,-4.4487991314999995
-2.1774537986436543e-20,-4.4483108502499995
-2.245699428203725e-20,-4.4478225689999995
-2.3118130215114123e-20,-4.4473342877499995
-2.375731263396549e-20,-4.4468460064999995
-2.4373929135245717e-20,-4.4463577252499995
-2.496738865397225e-20,-4.4458694439999995
-2.5537122033450374e-20,-4.4453811627499995
-2.608258257456221e-20,-4.4448928814999995
-2.6603246563887413e-20,-4.4444046002499995
-2.7098613780142143e-20,-4.4439163189999995
-2.7568207978442804e-20,-4.4434280377499995
-2.801157735192315e-20,-4.4429397564999995
-2.84282949702532e-20,-4.4424514752499995
-2.881795919463144e-20,-4.4419631939999995
-2.918019406884319e-20,-4.4414749127499995
-2.951464968600056e-20,-4.4409866314999995
-2.9821002530603233e-20,-4.4404983502499995
-3.009895579558152e-20,-4.4400100689999995
-3.0348239674007324e-20,-4.4395217877499995
-3.0568611625183103e-20,-4.4390335064999995
-3.075985661484197e-20,-4.4385452252499995
-3.092178732921784e-20,-4.4380569439999995
-3.1054244362768684e-20,-4.4375686627499995
-3.1157096379360807e-20,-4.4370803814999995
-3.123024024674784e-20,-4.4365921002499995
-3.127360114420305e-20,-4.4361038189999995
-3.128713264318916e-20,-4.4356155377499995
-3.127081676097576e-20,-4.4351272564999995
-3.122466398713997e-20,-4.4346389752499995
-3.114871328291169e-20,-4.4341506939999995
-3.1043032053351136e-20,-4.4336624127499995
-3.090771609237177e-20,-4.4331741314999995
-3.074288950064791e-20,-4.4326858502499995
-3.0548704576472286e-20,-4.4321975689999995
-3.032534167965435e-20,-4.4317092877499995
-3.007300906857634e-20,-4.4312210064999995
-2.9791942710549354e-20,-4.4307327252499995
-2.9482406065637695e-20,-4.4302444439999995
-2.914468984414476e-20,-4.4297561627499995
-2.877911173797942e-20,-4.4292678814999995
-2.8386016126146405e-20,-4.4287796002499995
-2.7965773754629714e-20,-4.4282913189999995
-2.7518781390961956e-20,-4.4278030377499995
-2.7045461453797307e-20,-4.4273147564999995
-2.6546261617829996e-20,-4.4268264752499995
-2.60216543944233e-20,-4.4263381939999995
-2.547213668833824e-20,-4.4258499127499995
-2.489822933097367e-20,-4.4253616314999995
-2.4300476590552114e-20,-4.4248733502499995
-2.3679445659708688e-20,-4.4243850689999995
-2.303572612096135e-20,-4.4238967877499995
-2.2369929390562412e-20,-4.4234085064999995
-2.1682688141253295e-20,-4.4229202252499995
-2.097465570446265e-20,-4.4224319439999995
-2.0246505452510278e-20,-4.4219436627499995
-1.94989301613979e-20,-4.4214553814999995
-1.873264135478512e-20,-4.4209671002499995
-1.7948368629770796e-20,-4.4204788189999995
-1.714685896511401e-20,-4.4199905377499995
-1.6328876012547923e-20,-4.4195022564999995
-1.549519937185725e-20,-4.4190139752499995
-1.4646623850403067e-20,-4.4185256939999995
-1.3783958707797192e-20,-4.4180374127499995
-1.2908026886440502e-20,-4.4175491314999995
-1.2019664228654685e-20,-4.4170608502499995
-1.111971868115062e-20,-4.4165725689999995
-1.0209049487587102e-20,-4.4160842877499995
-9.288526369988366e-21,-4.4155960064999995
-8.3590286997969e-21,-4.4151077252499995
-7.421444659350695e-21,-4.4146194439999995
-6.4766703945833e-21,-4.4141311627499995
-5.525609159751947e-21,-4.4136428814999995
-4.569170455010666e-21,-4.4131546002499995
-3.608269157648686e-21,-4.4126663189999995
-2.643824647824349e-21,-4.4121780377499995
-1.6767599296283088e-21,-4.4116897564999995
-7.080007483149522e-22,-4.4112014752499995
2.6152529545260896e-22,-4.4107131939999995
1.2308896335032324e-21,-4.4102249127499995
2.1991636194270796e-21,-4.4097366314999995
3.1654194180800985e-21,-4.4092483502499995
4.128730894604999e-21,-4.4087600689999995
5.0881745023724076e-21,-4.4082717877499995
6.0428301688172635e-21,-4.4077835064999995
6.991782178310588e-21,-4.4072952252499995
